Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Disparos,Disparos fuera área/90,TaP,Gol,Goles fuera del área,xG,Cab Int,Cab,DsR,Rec.1,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
player_448,DF/CR (DI),39,3.471,1.786,1.575,202,30,3,"4,07",9,29,348,103,"479,8 km","17,97",136,100,8,44,43,3,0,85,49,"13,22","13,59",32,"0,29",7,1,1,"4,26",170,90,23,19,110,9,110,9
player_449,ME/MP (DIC),7 (27),1.052,397,351,27,26,3,"2,03",0,29,141,45,"130,7 km","12,58",36,32,1,6,14,0,0,24,5,"4,19","13,94",33,"0,68",15,5,1,"3,68",62,12,0,3,46,6,33,3
player_450,"ME (DI), MP (DIC)",43 (1),2.704,915,761,96,82,11,"8,31",10,105,314,82,"391,8 km","13,88",70,57,1,29,30,2,0,54,31,"4,89","15,04",24,"0,3",9,3,2,"2,22",158,38,0,17,101,13,101,13
player_451,DL (C),36 (1),2.633,652,561,26,19,2,"1,12",7,26,205,52,"338,6 km","6,43",52,44,0,43,63,3,0,28,15,"1,74","16,54",80,"0,65",37,15,1,"10,77",287,90,0,6,16,1,16,1
player_452,"ME (C), MP (DIC)",35,2.336,851,738,46,32,3,"3,53",12,44,260,66,"334,2 km","11,6",44,34,0,17,25,0,0,30,17,"9,52","19,03",41,"0,54",11,2,0,"5,58",125,25,0,9,88,10,27,2
player_453,DF/CR (D),5 (5),638,313,284,38,7,0,"0,72",0,5,64,16,"91,0 km","16,08",24,14,4,6,6,1,0,15,14,"13,54","11,85",6,"0,14",1,0,0,"1,26",28,17,2,10,13,2,13,2
player_454,"ME (I), MP (IC), DL (C)",43,3.533,1.343,1.162,87,101,11,"13,46",20,43,401,109,"508,9 km","13,48",97,77,1,30,56,1,0,51,23,"11,72","13,53",96,"0,76",47,17,3,"10,82",188,59,0,9,99,15,70,11
player_455,DF/CR (D),15 (3),1.220,599,538,55,11,1,"0,84",0,23,126,38,"160,7 km","15,86",57,47,1,24,18,5,0,30,12,"8,41","19,25",5,"0,15",1,1,0,"0,12",63,37,6,12,42,3,42,3
player_456,DF (C),23 (1),1.959,1.201,1.079,74,3,0,"0,43",0,3,75,24,"252,8 km","5,47",30,22,3,20,10,1,0,31,27,"9,23","5,51",3,0,1,0,0,"0,47",166,131,17,9,2,0,2,0
player_457,ME/MP (C),10 (20),1.237,587,520,44,13,2,"1,99",3,10,149,38,"169,6 km","9,82",34,22,0,6,12,2,0,22,15,"8,22","16,01",13,"0,15",4,1,0,"1,21",50,12,0,7,9,0,9,0
player_458,"ME (DI), MP (DIC)",33,2.499,917,763,96,35,3,"5,28",5,80,347,91,"362,5 km","15,81",66,49,1,45,28,1,0,63,20,"4,93","12,86",25,"0,14",8,4,1,"3,38",150,26,0,11,109,20,83,16
player_459,"CR/ME/MP (D), DL (C)",11,885,339,275,28,13,1,"0,4",2,40,105,31,"112,6 km","11,39",29,24,2,8,10,0,0,20,8,"4,37","21,36",15,"0,41",5,3,0,"1,52",53,18,0,1,40,5,23,3
player_460,"ME (DC), MP (DIC)",11 (15),1.239,524,448,44,16,1,"2,56",10,23,152,35,"166,8 km","11,4",29,26,1,10,12,1,0,26,13,"10,17","14,67",19,"0,58",10,0,2,"1,53",55,25,0,9,33,5,23,4
player_461,"MP (DI), DL (C)",21 (12),1.794,461,407,11,7,1,"2,11",3,26,148,29,"239,5 km","6,97",25,21,0,28,52,0,0,23,10,"1,86","20,57",49,"0,75",22,7,3,"5,66",192,83,0,3,15,4,15,4
player_462,POR,4 (5),564,128,70,0,0,0,0,0,0,0,0,"36,0 km",0,1,1,0,0,1,0,0,0,-,"2,55","11,17",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_463,"ME (D), MP (DI)",25 (7),2.192,810,646,81,21,8,"8,28",9,77,272,71,"300,6 km","14,45",63,54,0,19,21,1,0,50,20,"4,27","14,62",24,"0,33",10,2,2,"2,46",154,52,0,9,141,24,141,24
player_464,DF (C),42,3.789,2.568,2.345,153,14,3,"1,92",2,5,154,63,"455,3 km","4,63",84,76,17,17,13,3,0,65,51,"15,99","2,49",26,"0,31",4,1,1,"1,55",284,177,17,28,110,20,9,2
